message_id,action,message_type,reason,confidence,evidence_message_ids
msg_105,mute,forward,The sender has a pattern of repeated forwards that this user usually ignores.,0.745341,"message_0373,message_0233"
msg_002,notify,payment,The sender has a strong history of being opened and replied to by this user.,0.878838,"message_0003,message_0266,message_0041"
msg_010,notify,business_update,The sender has a strong history of being opened and replied to by this user.,1.0,"message_0242,message_0011,message_0075"
msg_078,mute,personal,"Similar historical messages were ignored, dismissed, or muted by this user.",0.643722,message_0211
msg_013,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.814398,message_0081
msg_018,mute,event,"Similar historical messages were ignored, dismissed, or muted by this user.",0.703668,"message_0026,message_0092"
msg_044,mute,personal,"Similar historical messages were ignored, dismissed, or muted by this user.",0.680874,"message_0143,message_0144"
msg_032,digest,personal,This matches a pattern of similar past messages from this source.,0.914938,"message_0119,message_0285,message_0374"
msg_106,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.918808,"message_0376,message_0234"
msg_006,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.940278,"message_0097,message_0067,message_0044"
msg_109,mute,scam,The message shows scam-risk signals (message attempts to instruct the routing system directly) and is muted regardless of sender history.,0.76641,"message_0151,message_0150,message_0152"
msg_108,mute,scam,"The message shows scam-risk signals (payment or credential request (OTP, password, bank details, or similar)) and is muted regardless of sender history.",0.92043,"message_0094,message_0093"
msg_019,mute,scam,The message shows scam-risk signals (sender is an unverified business account) and is muted regardless of sender history.,0.791508,"message_0094,message_0093"
msg_088,mute,personal,"This group is muted by the user, and there is no direct mention to override that.",0.8,none
msg_056,notify,event,"The group is muted, but you were directly mentioned, which raises this above the group's baseline.",0.86297,"message_0226,message_0359,message_0167"
msg_027,digest,promotion,"The message has some risk signals (sender domain 'link.wame.pro' does not match the business's official domain 'thrillophilia.com') that lower its priority, though not enough to mute it outright.",0.8,"message_0007,message_0033,message_0272"
msg_050,notify,event,"The message has some risk signals (sender is an unverified business account) that lower its priority, though not enough to mute it outright.",0.775431,"message_0279,message_0155,message_0156"
msg_083,digest,personal,"This personal message shows no urgency, payment pressure, or safety risk for this user.",0.8,none
msg_063,mute,urgent,"Similar historical messages were ignored, dismissed, or muted by this user.",0.674282,"message_0181,message_0182"
msg_033,notify,greeting,The sender has a strong history of being opened and replied to by this user.,0.857488,"message_0121,message_0372,message_0122"
msg_061,mute,forward,The sender has a pattern of repeated forwards that this user usually ignores.,0.694467,"message_0080,message_0177,message_0193"
msg_020,digest,urgent,The message contains explicit deadline or urgency language.,0.847214,"message_0049,message_0096,message_0114"
msg_017,mute,personal,"Similar historical messages were ignored, dismissed, or muted by this user.",0.684119,"message_0089,message_0090"
msg_058,mute,forward,The sender has a pattern of repeated forwards that this user usually ignores.,0.683547,"message_0040,message_0241,message_0039"
msg_026,mute,scam,The message shows scam-risk signals (message contains a link/domain that does not match the business's official domain) and is muted regardless of sender history.,0.93687,"message_0032,message_0107,message_0108"
msg_047,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.861782,"message_0001,message_0098,message_0068"
msg_046,mute,personal,"Similar historical messages were ignored, dismissed, or muted by this user.",0.67492,"message_0148,message_0147"
msg_042,notify,urgent,The message contains explicit deadline or urgency language.,0.891079,"message_0058,message_0140"
msg_079,mute,scam,"The message shows scam-risk signals (payment or credential request (OTP, password, bank details, or similar)) and is muted regardless of sender history.",0.611647,"message_0369,message_0023,message_0045"
msg_098,notify,event,The sender has a strong history of being opened and replied to by this user.,0.889686,"message_0226,message_0359,message_0168"
msg_037,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.84595,"message_0271,message_0001,message_0410"
msg_007,digest,personal,This matches a pattern of similar past messages from this source.,0.826411,"message_0070,message_0069"
msg_085,mute,scam,The message shows scam-risk signals (sender is an unverified business account) and is muted regardless of sender history.,0.775,none
msg_001,notify,urgent,The message contains explicit deadline or urgency language.,0.887091,"message_0139,message_0057,message_0240"
msg_021,notify,payment,The sender has a strong history of being opened and replied to by this user.,0.858254,"message_0098,message_0068,message_0044"
msg_028,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.798046,"message_0034,message_0112,message_0111"
msg_012,mute,forward,The sender has a pattern of repeated forwards that this user usually ignores.,0.699938,"message_0178,message_0194,message_0079"
msg_064,digest,urgent,The message contains explicit deadline or urgency language.,0.77314,"message_0201,message_0183,message_0087"
msg_103,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.945202,"message_0065,message_0382,message_0231"
msg_031,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.851303,"message_0227,message_0249,message_0118"
msg_057,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.89967,"message_0059,message_0169,message_0266"
msg_087,mute,personal,"This group is muted by the user, and there is no direct mention to override that.",0.8,none
msg_067,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.892827,"message_0098,message_0068,message_0271"
msg_039,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.903928,"message_0364,message_0051,message_0403"
msg_082,digest,personal,"This personal message shows no urgency, payment pressure, or safety risk for this user.",0.8,none
msg_066,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.812776,message_0188
msg_049,notify,promotion,The sender has a strong history of being opened and replied to by this user.,0.922407,"message_0154,message_0291,message_0153"
msg_015,digest,personal,"The message has some risk signals (payment or credential request (OTP, password, bank details, or similar)) that lower its priority, though not enough to mute it outright.",0.651092,"message_0023,message_0045,message_0195"
msg_051,digest,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.925672,"message_0257,message_0104,message_0157"
msg_097,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.871467,"message_0359,message_0167,message_0225"
msg_089,digest,unknown,"The sender is unfamiliar, and the message shows no urgency, payment pressure, or safety risk.",0.8,none
msg_053,digest,personal,This matches a pattern of similar past messages from this source.,0.915986,"message_0161,message_0411,message_0253"
msg_059,digest,event,"Similar historical messages were ignored, dismissed, or muted by this user.",0.825246,"message_0053,message_0173"
msg_024,digest,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.925672,"message_0257,message_0104,message_0157"
msg_072,mute,scam,"The message shows scam-risk signals (payment or credential request (OTP, password, bank details, or similar)) and is muted regardless of sender history.",0.604265,"message_0023,message_0045,message_0195"
msg_036,mute,scam,The message shows scam-risk signals (sender is an unverified business account) and is muted regardless of sender history.,0.891006,"message_0283,message_0127"
msg_076,mute,scam,The message shows scam-risk signals (sender is an unverified business account) and is muted regardless of sender history.,0.918374,"message_0208,message_0207,message_0159"
msg_055,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.865438,"message_0166,message_0165"
msg_102,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.972398,"message_0230,message_0371,message_0059"
msg_080,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.860646,"message_0271,message_0216,message_0180"
msg_093,digest,business_update,"This arrived during the user's quiet hours, so it is held back rather than delivered now.",0.8,none
msg_034,mute,greeting,"Similar historical messages were ignored, dismissed, or muted by this user.",0.733834,"message_0013,message_0167,message_0039"
msg_035,notify,business_update,The sender has a strong history of being opened and replied to by this user.,0.943802,"message_0281,message_0125,message_0126"
msg_101,digest,personal,"This arrived during the user's quiet hours, so it is held back rather than delivered now.",0.998159,"message_0229,message_0370,message_0268"
msg_041,digest,business_update,"The message has some risk signals (sender domain 'weurl.co' does not match the business's official domain 'polaris.school') that lower its priority, though not enough to mute it outright.",0.686578,"message_0137,message_0138"
msg_011,mute,forward,The sender has a pattern of repeated forwards that this user usually ignores.,0.720641,"message_0014,message_0123,message_0171"
msg_110,mute,scam,"The message shows scam-risk signals (payment or credential request (OTP, password, bank details, or similar)) and is muted regardless of sender history.",0.860179,message_0238
msg_095,mute,scam,"The message shows scam-risk signals (payment or credential request (OTP, password, bank details, or similar)) and is muted regardless of sender history.",0.863346,"message_0201,message_0183,message_0087"
msg_074,mute,scam,"The message shows scam-risk signals (payment or credential request (OTP, password, bank details, or similar)) and is muted regardless of sender history.",0.75033,"message_0203,message_0389,message_0204"
msg_073,digest,urgent,The message contains explicit deadline or urgency language.,0.625,none
msg_054,mute,personal,"Similar historical messages were ignored, dismissed, or muted by this user.",0.712564,"message_0389,message_0203,message_0163"
msg_068,digest,personal,This matches a pattern of similar past messages from this source.,0.843816,message_0191
msg_100,notify,urgent,The message contains explicit deadline or urgency language.,0.958892,"message_0362,message_0228,message_0249"
msg_062,digest,personal,"The message has some risk signals (forwarded_count is 7, a mass-forward level) that lower its priority, though not enough to mute it outright.",0.667992,message_0043
msg_096,digest,unknown,"The sender is unfamiliar, and the message shows no urgency, payment pressure, or safety risk.",0.8,none
msg_043,notify,urgent,The message contains explicit deadline or urgency language.,0.603338,"message_0097,message_0067,message_0001"
msg_077,digest,event,"This arrived during the user's quiet hours, so it is held back rather than delivered now.",0.921366,"message_0051,message_0403,message_0364"
msg_081,digest,personal,"This personal message shows no urgency, payment pressure, or safety risk for this user.",0.8,none
msg_025,notify,business_update,The sender has a strong history of being opened and replied to by this user.,1.0,"message_0004,message_0239,message_0105"
msg_084,digest,business_update,"This business_update message shows no urgency, payment pressure, or safety risk for this user.",0.8,none
msg_022,mute,payment,"Similar historical messages were ignored, dismissed, or muted by this user.",0.871995,"message_0151,message_0099,message_0149"
